baseline,baseline_family,channel_size,num_enabled,macro_auroc_median,macro_auroc_std,macro_auprc_median,macro_auprc_std,macro_r2_median,macro_r2_std,macro_pearson_median,macro_pearson_std,file
FFTLogPower512,spectral,128,1,0.936042,0.000507384,0.588366,0.00108579,0.230356,0.00174785,0.332766,0.00263718,Baseline-FFTLogPower512-L128__num_enabled_1.json
FFTLogPower512,spectral,128,2,0.792962,0.000503148,0.457355,0.00101686,0.0758801,0.00109259,0.199437,0.00143541,Baseline-FFTLogPower512-L128__num_enabled_2.json
FFTLogPower512,spectral,128,3,0.732024,0.000636352,0.467246,0.00104447,0.0573969,0.000650249,0.167126,0.000603001,Baseline-FFTLogPower512-L128__num_enabled_3.json
FFTLogPower512,spectral,16384,1,0.916611,0.000661204,0.576885,0.00119413,-201.127,2.60344,0.0960954,0.00226643,Baseline-FFTLogPower512-L16384__num_enabled_1.json
FFTLogPower512,spectral,16384,2,0.77069,0.000889656,0.440763,0.000567164,-190.69,1.60422,0.0784569,0.00143336,Baseline-FFTLogPower512-L16384__num_enabled_2.json
FFTLogPower512,spectral,16384,3,0.714449,0.000776814,0.456355,0.000698287,-267.319,2.00932,-0.0049161,0.00221031,Baseline-FFTLogPower512-L16384__num_enabled_3.json
FFTLogPower512,spectral,2048,1,0.959703,0.000321121,0.695975,0.0011205,-23.8344,0.309309,0.226217,0.0272964,Baseline-FFTLogPower512-L2048__num_enabled_1.json
FFTLogPower512,spectral,2048,2,0.837671,0.000416767,0.521384,0.00151183,-3.97488,0.0465497,0.169516,0.0010417,Baseline-FFTLogPower512-L2048__num_enabled_2.json
FFTLogPower512,spectral,2048,3,0.776809,0.000612969,0.516547,0.000920939,-2.59426,0.0146109,0.144299,0.000977839,Baseline-FFTLogPower512-L2048__num_enabled_3.json
FFTLogPower512,spectral,5000,1,0.940405,0.000359665,0.604817,0.00114915,-2.8693,0.0686429,0.201343,0.00110003,Baseline-FFTLogPower512-L5000__num_enabled_1.json
FFTLogPower512,spectral,5000,2,0.815034,0.000419021,0.478945,0.000959209,-6.5116,0.0419087,0.086448,0.00156494,Baseline-FFTLogPower512-L5000__num_enabled_2.json
FFTLogPower512,spectral,5000,3,0.753177,0.000707117,0.486962,0.000676789,-10.1091,0.0618397,0.118377,0.00152615,Baseline-FFTLogPower512-L5000__num_enabled_3.json
FFTLogPower512,spectral,512,1,0.952639,0.00037723,0.664164,0.00119807,0.157565,0.00203564,0.318305,0.00239425,Baseline-FFTLogPower512-L512__num_enabled_1.json
FFTLogPower512,spectral,512,2,0.836175,0.000368922,0.520258,0.000931726,0.0130404,0.0011818,0.205629,0.00141463,Baseline-FFTLogPower512-L512__num_enabled_2.json
FFTLogPower512,spectral,512,3,0.772892,0.000637741,0.512861,0.000996757,-0.130225,0.00405359,0.170308,0.00155157,Baseline-FFTLogPower512-L512__num_enabled_3.json
MetricFloor,metric_floor,128,1,0.5,0,0.0714286,0,-0.000416705,0.000110144,-1.61052e-10,6.28922e-09,Baseline-MetricFloor-L128__num_enabled_1.json
MetricFloor,metric_floor,128,2,0.5,0,0.142857,0,-0.000140946,5.46242e-05,3.55432e-09,1.10901e-08,Baseline-MetricFloor-L128__num_enabled_2.json
MetricFloor,metric_floor,128,3,0.5,0,0.214286,0,-0.000133038,3.03048e-05,-1.90045e-09,6.51969e-09,Baseline-MetricFloor-L128__num_enabled_3.json
MetricFloor,metric_floor,16384,1,0.5,0,0.0714286,0,-0.000387129,8.98507e-05,9.69301e-11,4.89449e-09,Baseline-MetricFloor-L16384__num_enabled_1.json
MetricFloor,metric_floor,16384,2,0.5,0,0.142857,0,-0.000144985,4.76898e-05,2.65957e-12,1.37114e-08,Baseline-MetricFloor-L16384__num_enabled_2.json
MetricFloor,metric_floor,16384,3,0.5,0,0.214286,0,-0.000139069,3.33646e-05,-1.11137e-09,5.58931e-09,Baseline-MetricFloor-L16384__num_enabled_3.json
MetricFloor,metric_floor,2048,1,0.5,0,0.0714286,0,-0.000419217,0.000107826,-1.88117e-09,5.01746e-09,Baseline-MetricFloor-L2048__num_enabled_1.json
MetricFloor,metric_floor,2048,2,0.5,0,0.142857,0,-0.000152542,4.6537e-05,2.12231e-11,1.19287e-08,Baseline-MetricFloor-L2048__num_enabled_2.json
MetricFloor,metric_floor,2048,3,0.5,0,0.214286,0,-0.000125466,2.59459e-05,6.48844e-10,4.79848e-09,Baseline-MetricFloor-L2048__num_enabled_3.json
MetricFloor,metric_floor,5000,1,0.5,0,0.0714286,0,-0.000399724,9.16601e-05,-1.14848e-09,5.3185e-09,Baseline-MetricFloor-L5000__num_enabled_1.json
MetricFloor,metric_floor,5000,2,0.5,0,0.142857,0,-0.000142241,4.42141e-05,2.35923e-11,1.1195e-08,Baseline-MetricFloor-L5000__num_enabled_2.json
MetricFloor,metric_floor,5000,3,0.5,0,0.214286,0,-0.000118817,2.52215e-05,-3.52109e-09,4.95939e-09,Baseline-MetricFloor-L5000__num_enabled_3.json
MetricFloor,metric_floor,512,1,0.5,0,0.0714286,0,-0.000408584,9.06385e-05,-2.45258e-09,4.5986e-09,Baseline-MetricFloor-L512__num_enabled_1.json
MetricFloor,metric_floor,512,2,0.5,0,0.142857,0,-0.000158425,4.63239e-05,1.33462e-09,1.16623e-08,Baseline-MetricFloor-L512__num_enabled_2.json
MetricFloor,metric_floor,512,3,0.5,0,0.214286,0,-0.000142311,3.75931e-05,-3.80248e-10,5.38972e-09,Baseline-MetricFloor-L512__num_enabled_3.json
OracleDenseParams,oracle,128,1,1,0,1,0,0.998717,2.34626e-06,0.999992,1.21098e-07,Baseline-OracleDenseParams-L128__num_enabled_1.json
OracleDenseParams,oracle,128,2,1,0,1,0,0.999581,3.74066e-06,0.999933,1.37014e-06,Baseline-OracleDenseParams-L128__num_enabled_2.json
OracleDenseParams,oracle,128,3,1,0,1,0,0.999986,7.89201e-08,0.999997,2.72771e-08,Baseline-OracleDenseParams-L128__num_enabled_3.json
OracleDenseParams,oracle,16384,1,1,0,1,0,0.998721,1.88124e-06,0.999996,7.03155e-08,Baseline-OracleDenseParams-L16384__num_enabled_1.json
OracleDenseParams,oracle,16384,2,1,0,1,0,0.998933,2.26645e-05,0.99967,9.57782e-06,Baseline-OracleDenseParams-L16384__num_enabled_2.json
OracleDenseParams,oracle,16384,3,1,0,1,0,0.99998,1.46759e-07,0.999995,4.82263e-08,Baseline-OracleDenseParams-L16384__num_enabled_3.json
OracleDenseParams,oracle,2048,1,1,0,1,0,0.998724,2.09078e-06,0.999997,5.18329e-08,Baseline-OracleDenseParams-L2048__num_enabled_1.json
OracleDenseParams,oracle,2048,2,1,0,1,0,0.999058,9.67627e-06,0.99975,4.61648e-06,Baseline-OracleDenseParams-L2048__num_enabled_2.json
OracleDenseParams,oracle,2048,3,1,0,1,0,0.999985,9.98042e-08,0.999997,2.4019e-08,Baseline-OracleDenseParams-L2048__num_enabled_3.json
OracleDenseParams,oracle,5000,1,1,0,1,0,0.998729,3.20357e-06,0.999996,5.9195e-08,Baseline-OracleDenseParams-L5000__num_enabled_1.json
OracleDenseParams,oracle,5000,2,1,0,1,0,0.999578,3.39321e-06,0.999959,8.62523e-07,Baseline-OracleDenseParams-L5000__num_enabled_2.json
OracleDenseParams,oracle,5000,3,1,0,1,0,0.999972,1.78069e-07,0.999994,5.55186e-08,Baseline-OracleDenseParams-L5000__num_enabled_3.json
