model,num_enabled,lr,target,signal,metric,r2,r2_layer,r2_best_step,pearson,pearson_layer,mse,mse_layer
MantisV2,1,0.01,spike_time_frac,spike,time_frac,0.9994355602322691,3,1250.0,0.9997222956800825,3,2.3562608141296292e-05,3
MantisV2,1,0.01,spike_amplitude,spike,magnitude,0.9907225960651312,3,1150.0,0.9958537184280817,3,0.00012151850737715315,3
MantisV2,1,0.01,level_change_time_frac,level_change,time_frac,0.9998577318540034,3,600.0,0.9999329385789106,3,5.9849835648005295e-06,3
MantisV2,1,0.01,level_change_amplitude,level_change,magnitude,0.9982035251308593,3,950.0,0.9991103261895131,3,0.0006103972385261699,3
MantisV2,1,0.01,gaussian_time_frac,gaussian,time_frac,0.9968328819375131,3,1100.0,0.9984198298763185,3,0.0001317146222840408,3
MantisV2,1,0.01,gaussian_amplitude,gaussian,magnitude,0.9940238257607059,3,1250.0,0.9971840782985951,3,0.0019373039276882893,3
MantisV2,1,0.01,gaussian_sigma_sec,gaussian,sigma_sec,0.9781180017652621,3,1200.0,0.989181428602814,3,4.553852862970251e-06,3
MantisV2,1,0.01,gaussian_noise_std,gaussian_noise,std,0.9853221433027145,3,1150.0,0.9934140823022352,3,2.068045466078837e-05,3
MantisV2,1,0.01,uniform_noise_amplitude,uniform_noise,std,0.9946976381378629,3,1100.0,0.9973722648297478,3,1.766688744771298e-05,3
MantisV2,1,0.01,random_walk_step_std,random_walk_noise,std,0.9715073985772955,3,1200.0,0.9868620554284198,3,1.1741762257843032e-05,3
MantisV2,1,0.01,linear_trend_slope,linear_trend,slope,0.9986859416660673,3,1100.0,0.999349004779674,3,0.001750079114980868,3
MantisV2,1,0.01,linear_trend_intercept,linear_trend,intercept,0.9991131091549367,3,1100.0,0.9995613455327524,3,7.264495653316526e-05,3
MantisV2,1,0.01,quadratic_trend_a,quadratic_trend,a,0.9872700369107841,3,1200.0,0.9936593849305861,3,0.06783486808387865,3
MantisV2,1,0.01,quadratic_trend_b,quadratic_trend,slope,0.9921901593861937,3,1250.0,0.9961261284084663,3,0.010151044823092701,3
MantisV2,1,0.01,quadratic_trend_c,quadratic_trend,intercept,0.9943817623286593,3,1250.0,0.997866336431247,3,0.0004717917212029394,3
MantisV2,1,0.01,log_trend_amplitude,log_trend,amplitude,0.99899827234531,3,1150.0,0.9995203363741061,3,0.0013237350290808692,3
MantisV2,1,0.01,log_trend_offset,log_trend,offset,0.9932163999319465,3,1250.0,0.9966402920385117,3,0.0005610358832808188,3
MantisV2,1,0.01,sigmoid_trend_amplitude,sigmoid_trend,amplitude,0.9930497147068642,3,1200.0,0.996688158027785,3,0.009352359987982815,3
MantisV2,1,0.01,sigmoid_trend_center,sigmoid_trend,center,0.9968712713876757,3,900.0,0.9984718200252789,3,9.510870572237705e-05,3
MantisV2,1,0.01,sigmoid_trend_sharpness,sigmoid_trend,sharpness,0.9941504065093559,3,1250.0,0.9971493996510007,3,0.11398368217597764,3
