model,head,num_enabled,lr,signal,auroc,auroc_layer,auprc,auprc_layer
Moirai-1.1-R-Base,categorical,1,0.01,constant,1.0,12,1.0,12
Moirai-1.1-R-Base,categorical,1,0.01,gaussian_noise,0.9999996423721313,12,0.9999953508377075,12
Moirai-1.1-R-Base,categorical,1,0.01,uniform_noise,0.9999914169311523,12,0.9998520612716675,12
Moirai-1.1-R-Base,categorical,1,0.01,random_walk_noise,0.9999998807907104,12,0.999998927116394,12
Moirai-1.1-R-Base,categorical,1,0.01,linear_trend,0.9970977306365967,12,0.9269504547119141,12
Moirai-1.1-R-Base,categorical,1,0.01,quadratic_trend,0.9863775968551636,12,0.9099535942077637,12
Moirai-1.1-R-Base,categorical,1,0.01,log_trend,0.9999786615371704,12,0.999886155128479,12
Moirai-1.1-R-Base,categorical,1,0.01,sigmoid_trend,0.9997977018356323,12,0.9992542266845703,12
Moirai-1.1-R-Base,categorical,1,0.01,sine,0.9998836517333984,12,0.998960554599762,12
Moirai-1.1-R-Base,categorical,1,0.01,sawtooth,0.9999991655349731,12,0.9999800324440002,12
Moirai-1.1-R-Base,categorical,1,0.01,square,0.9999991059303284,12,0.9999890327453613,12
Moirai-1.1-R-Base,categorical,1,0.01,spike,0.999995768070221,12,0.9999104738235474,12
Moirai-1.1-R-Base,categorical,1,0.01,level_change,0.9990159273147583,12,0.9974308609962463,12
Moirai-1.1-R-Base,categorical,1,0.01,gaussian,0.9994667768478394,12,0.9992356300354004,12
Moirai-1.1-R-Base,categorical,1,0.0067,constant,0.9999999403953552,12,1.0,12
Moirai-1.1-R-Base,categorical,1,0.0067,gaussian_noise,0.9999997615814209,12,0.9999963641166687,12
Moirai-1.1-R-Base,categorical,1,0.0067,uniform_noise,0.9999895691871643,12,0.9998166561126709,12
Moirai-1.1-R-Base,categorical,1,0.0067,random_walk_noise,0.9999994039535522,12,0.9999904632568359,12
Moirai-1.1-R-Base,categorical,1,0.0067,linear_trend,0.9965322017669678,12,0.9114609360694885,12
Moirai-1.1-R-Base,categorical,1,0.0067,quadratic_trend,0.9846258759498596,12,0.8985064029693604,12
Moirai-1.1-R-Base,categorical,1,0.0067,log_trend,0.999984622001648,12,0.9999028444290161,12
Moirai-1.1-R-Base,categorical,1,0.0067,sigmoid_trend,0.9997221231460571,12,0.9989500641822815,12
Moirai-1.1-R-Base,categorical,1,0.0067,sine,0.9997208118438721,12,0.9976843595504761,12
Moirai-1.1-R-Base,categorical,1,0.0067,sawtooth,0.9999983310699463,12,0.999958336353302,12
Moirai-1.1-R-Base,categorical,1,0.0067,square,0.9999959468841553,12,0.9999549388885498,12
Moirai-1.1-R-Base,categorical,1,0.0067,spike,0.9999910593032837,12,0.9996432662010193,12
Moirai-1.1-R-Base,categorical,1,0.0067,level_change,0.9987481832504272,12,0.9964802265167236,12
