model,num_enabled,lr,target,signal,metric,r2,r2_layer,r2_best_step,pearson,pearson_layer,mse,mse_layer
Moirai-1.1-R-Base,1,0.01,spike_time_frac,spike,time_frac,0.9795135420790563,9,1100.0,0.9908475379828691,9,0.0008552097279306027,9
Moirai-1.1-R-Base,1,0.01,spike_amplitude,spike,magnitude,-0.00403565173892928,9,250.0,-0.025624499056017314,9,0.013151191282530613,9
Moirai-1.1-R-Base,1,0.01,level_change_time_frac,level_change,time_frac,0.9990133966210609,9,1250.0,0.9995221420989359,9,4.150475826168385e-05,9
Moirai-1.1-R-Base,1,0.01,level_change_amplitude,level_change,magnitude,0.7652676237831048,9,1150.0,0.8756290505534737,9,0.07975619180468174,9
Moirai-1.1-R-Base,1,0.01,gaussian_time_frac,gaussian,time_frac,0.9979896519368996,9,1250.0,0.9990073538065498,9,8.36066829737297e-05,9
Moirai-1.1-R-Base,1,0.01,gaussian_amplitude,gaussian,magnitude,0.7656340276037908,9,1100.0,0.875884955284088,9,0.07597471235933947,9
Moirai-1.1-R-Base,1,0.01,gaussian_sigma_sec,gaussian,sigma_sec,0.9950318341007655,9,1250.0,0.9975448285243774,9,1.0339227826106024e-06,9
Moirai-1.1-R-Base,1,0.01,gaussian_noise_std,gaussian_noise,std,-0.00794943856894692,9,1050.0,0.09568117729256168,9,0.001420156436637454,9
Moirai-1.1-R-Base,1,0.01,uniform_noise_amplitude,uniform_noise,std,-0.003610184508683556,9,200.0,0.029745943882470257,9,0.0033439189236977827,9
Moirai-1.1-R-Base,1,0.01,random_walk_step_std,random_walk_noise,std,-0.028162032526076963,9,200.0,0.003939062471399914,9,0.00042370417391378995,9
Moirai-1.1-R-Base,1,0.01,linear_trend_slope,linear_trend,slope,0.7581451677227913,9,1100.0,0.8711734181002663,9,0.3221052520239296,9
Moirai-1.1-R-Base,1,0.01,linear_trend_intercept,linear_trend,intercept,-0.00422181721338899,9,950.0,-0.011212452096192874,9,0.08225550040029529,9
Moirai-1.1-R-Base,1,0.01,quadratic_trend_a,quadratic_trend,a,0.8853215474662574,9,1250.0,0.9409532801554895,9,0.6110935000494916,9
Moirai-1.1-R-Base,1,0.01,quadratic_trend_b,quadratic_trend,slope,0.8803446711924788,9,1050.0,0.9383303850553046,9,0.15552514655674593,9
Moirai-1.1-R-Base,1,0.01,quadratic_trend_c,quadratic_trend,intercept,-0.003841277752410166,9,1050.0,0.008826304286879461,9,0.08429760931284189,9
Moirai-1.1-R-Base,1,0.01,log_trend_amplitude,log_trend,amplitude,0.7638485995723598,9,1150.0,0.8756086117582348,9,0.3120627442488932,9
Moirai-1.1-R-Base,1,0.01,log_trend_offset,log_trend,offset,-0.005985415169428743,9,750.0,0.003644591821889544,9,0.08319976270787915,9
Moirai-1.1-R-Base,1,0.01,sigmoid_trend_amplitude,sigmoid_trend,amplitude,0.7576020002629634,9,950.0,0.8714536149580947,9,0.3261727049027225,9
Moirai-1.1-R-Base,1,0.01,sigmoid_trend_center,sigmoid_trend,center,0.9940728691616906,9,1150.0,0.9971890647501785,9,0.0001801759796162131,9
Moirai-1.1-R-Base,1,0.01,sigmoid_trend_sharpness,sigmoid_trend,sharpness,0.9258879177849301,9,1250.0,0.9654198713542633,9,1.4441290729199632,9
Moirai-1.1-R-Base,1,0.01,sigmoid_trend_offset,sigmoid_trend,offset,-0.0027261976912789088,9,250.0,-0.004657664566472916,9,0.08485716937663154,9
Moirai-1.1-R-Base,1,0.01,sine_amplitude,sine,amplitude,-0.009484292650939974,9,1100.0,0.011970394954054683,9,0.08467829301422863,9
Moirai-1.1-R-Base,1,0.01,sine_frequency_hz,sine,frequency_hz,0.9942750458230151,9,1250.0,0.9971454424354258,9,24.051039137179608,9
Moirai-1.1-R-Base,1,0.01,sine_phase,sine,phase,0.06519518096046573,9,1250.0,0.3261424853673921,9,3.148166204834449,9
Moirai-1.1-R-Base,1,0.01,sine_offset,sine,offset,-0.02143940001119926,9,550.0,0.011564945089658461,9,0.01364453720480498,9
Moirai-1.1-R-Base,1,0.01,sawtooth_amplitude,sawtooth,amplitude,-0.005203211528270302,9,150.0,0.02555091408869303,9,0.08297796582142486,9
Moirai-1.1-R-Base,1,0.01,sawtooth_frequency_hz,sawtooth,frequency_hz,0.9976403332023194,9,1250.0,0.9988236334054799,9,1.9214112839025923,9
Moirai-1.1-R-Base,1,0.01,sawtooth_phase,sawtooth,phase,0.3111907900938945,9,1200.0,0.6890120767913723,9,2.281981735273104,9
Moirai-1.1-R-Base,1,0.01,sawtooth_offset,sawtooth,offset,-0.014753503426669035,9,1100.0,0.005396837608857234,9,0.013426521545121726,9
Moirai-1.1-R-Base,1,0.01,square_amplitude,square,amplitude,-0.015027814787439642,9,50.0,-0.006723088489633507,9,0.08310790137561024,9
Moirai-1.1-R-Base,1,0.01,square_frequency_hz,square,frequency_hz,0.9899473461186378,9,1250.0,0.9950364390469596,9,0.48269958220206566,9
Moirai-1.1-R-Base,1,0.01,square_phase,square,phase,0.35350152672110147,9,1250.0,0.6618241313814207,9,2.1336615041387375,9
Moirai-1.1-R-Base,1,0.01,square_offset,square,offset,-0.022813845201240746,9,100.0,0.008301711618932209,9,0.013666375216339639,9
Moirai-1.1-R-Base,1,0.01,square_duty_cycle,square,duty_cycle,0.9974118537797665,9,1200.0,0.9987122564773236,9,0.00014030131340662635,9
Moirai-1.1-R-Base,1,0.0067,spike_time_frac,spike,time_frac,0.9798562088448903,9,1250.0,0.9900885158316465,9,0.0008409050612717468,9
Moirai-1.1-R-Base,1,0.0067,spike_amplitude,spike,magnitude,-0.005786163114356757,9,1250.0,-0.013373736589533702,9,0.013174120059910801,9
