model,head,num_enabled,lr,signal,auroc,auroc_layer,auprc,auprc_layer
Timer-Base-84M,categorical,1,0.01,constant,0.9970500469207764,6,0.9589664936065674,6
Timer-Base-84M,categorical,1,0.01,gaussian_noise,0.9768044352531433,5,0.728103756904602,5
Timer-Base-84M,categorical,1,0.01,uniform_noise,0.9817795753479004,5,0.7651550769805908,5
Timer-Base-84M,categorical,1,0.01,random_walk_noise,0.9999961256980896,6,0.9999489784240723,6
Timer-Base-84M,categorical,1,0.01,linear_trend,0.987578272819519,6,0.8419239521026611,6
Timer-Base-84M,categorical,1,0.01,quadratic_trend,0.9833337664604187,6,0.8805201053619385,6
Timer-Base-84M,categorical,1,0.01,log_trend,0.9994279146194458,6,0.9962199926376343,6
Timer-Base-84M,categorical,1,0.01,sigmoid_trend,0.9913725852966309,6,0.9371399879455566,6
Timer-Base-84M,categorical,1,0.01,sine,0.9998784065246582,6,0.9993306994438171,6
Timer-Base-84M,categorical,1,0.01,sawtooth,0.9999599456787109,6,0.9995474815368652,6
Timer-Base-84M,categorical,1,0.01,square,0.9999759197235107,5,0.9996878504753113,5
Timer-Base-84M,categorical,1,0.01,spike,0.9999114274978638,5,0.9985327124595642,6
Timer-Base-84M,categorical,1,0.01,level_change,0.9965775609016418,6,0.970483124256134,6
Timer-Base-84M,categorical,1,0.01,gaussian,0.9989017844200134,5,0.9834287166595459,5
Timer-Base-84M,categorical,1,0.005,constant,0.9965287446975708,6,0.9529328942298889,6
Timer-Base-84M,categorical,1,0.005,gaussian_noise,0.9736044406890869,5,0.6858687996864319,5
Timer-Base-84M,categorical,1,0.005,uniform_noise,0.9786684513092041,5,0.7262858152389526,5
Timer-Base-84M,categorical,1,0.005,random_walk_noise,0.9999898076057434,6,0.9998647570610046,6
Timer-Base-84M,categorical,1,0.005,linear_trend,0.9848392009735107,6,0.8144493103027344,6
Timer-Base-84M,categorical,1,0.005,quadratic_trend,0.9806274175643921,6,0.8613028526306152,6
Timer-Base-84M,categorical,1,0.005,log_trend,0.999065637588501,6,0.9941364526748657,6
Timer-Base-84M,categorical,1,0.005,sigmoid_trend,0.9887956380844116,6,0.9205378293991089,6
Timer-Base-84M,categorical,1,0.005,sine,0.9996781349182129,6,0.9986603856086731,6
Timer-Base-84M,categorical,1,0.005,sawtooth,0.9998916983604431,6,0.9988958835601807,6
Timer-Base-84M,categorical,1,0.005,square,0.999930739402771,5,0.9992364645004272,5
Timer-Base-84M,categorical,1,0.005,spike,0.9998779296875,5,0.9978215098381042,5
Timer-Base-84M,categorical,1,0.005,level_change,0.9935901761054993,6,0.9548031687736511,6
Timer-Base-84M,categorical,1,0.005,gaussian,0.9982872009277344,5,0.9757795333862305,5
Timer-Base-84M,categorical,1,0.003,constant,0.9959826469421387,6,0.9471464157104492,6
Timer-Base-84M,categorical,1,0.003,gaussian_noise,0.9713877439498901,5,0.6476970911026001,6
Timer-Base-84M,categorical,1,0.003,uniform_noise,0.9763451814651489,5,0.7036111950874329,5
Timer-Base-84M,categorical,1,0.003,random_walk_noise,0.9999753832817078,6,0.9996776580810547,6
Timer-Base-84M,categorical,1,0.003,linear_trend,0.9814258813858032,6,0.7895240187644958,6
Timer-Base-84M,categorical,1,0.003,quadratic_trend,0.9782241582870483,6,0.8425984382629395,6
Timer-Base-84M,categorical,1,0.003,log_trend,0.9981692433357239,6,0.989593505859375,6
Timer-Base-84M,categorical,1,0.003,sigmoid_trend,0.9859523773193359,6,0.9033231735229492,6
Timer-Base-84M,categorical,1,0.003,sine,0.9994074702262878,6,0.997925877571106,6
Timer-Base-84M,categorical,1,0.003,sawtooth,0.9997576475143433,6,0.997761607170105,5
Timer-Base-84M,categorical,1,0.003,square,0.9998499155044556,5,0.9985997676849365,5
Timer-Base-84M,categorical,1,0.003,spike,0.9998458623886108,5,0.9976286888122559,5
Timer-Base-84M,categorical,1,0.003,level_change,0.9910733103752136,6,0.9426954388618469,6
Timer-Base-84M,categorical,1,0.003,gaussian,0.9964863061904907,5,0.958408534526825,5
Timer-Base-84M,categorical,1,0.001,constant,0.9938631057739258,6,0.9255269169807434,6
Timer-Base-84M,categorical,1,0.001,gaussian_noise,0.9658784866333008,6,0.5742979049682617,6
Timer-Base-84M,categorical,1,0.001,uniform_noise,0.9707111120223999,5,0.6042444109916687,5
Timer-Base-84M,categorical,1,0.001,random_walk_noise,0.9997795820236206,6,0.9973267316818237,6
Timer-Base-84M,categorical,1,0.001,linear_trend,0.9676932692527771,6,0.7166911959648132,6
Timer-Base-84M,categorical,1,0.001,quadratic_trend,0.9693474173545837,6,0.775377631187439,6
Timer-Base-84M,categorical,1,0.001,log_trend,0.9907364845275879,6,0.9694044589996338,6
Timer-Base-84M,categorical,1,0.001,sigmoid_trend,0.9739679098129272,6,0.8355612754821777,6
Timer-Base-84M,categorical,1,0.001,sine,0.9979325532913208,5,0.9937819242477417,5
Timer-Base-84M,categorical,1,0.001,sawtooth,0.9986239671707153,6,0.9886244535446167,5
Timer-Base-84M,categorical,1,0.001,square,0.9991955757141113,5,0.9930242300033569,5
Timer-Base-84M,categorical,1,0.001,spike,0.9934701919555664,5,0.886640191078186,5
Timer-Base-84M,categorical,1,0.001,level_change,0.9861376285552979,6,0.9152052998542786,6
Timer-Base-84M,categorical,1,0.001,gaussian,0.9895200729370117,5,0.9052335023880005,5
