model,num_enabled,lr,target,signal,metric,r2,r2_layer,r2_best_step,pearson,pearson_layer,mse,mse_layer
Timer-Base-84M,1,0.01,spike_time_frac,spike,time_frac,0.8937539266298908,6,1250.0,0.9471407379248451,6,0.0042856110860725,6
Timer-Base-84M,1,0.01,spike_amplitude,spike,magnitude,0.4722609006240407,6,1250.0,0.6933732720845004,6,0.006912501394889038,6
Timer-Base-84M,1,0.01,level_change_time_frac,level_change,time_frac,0.9367702476102702,6,1250.0,0.9678864229706311,6,0.002560292237182148,6
Timer-Base-84M,1,0.01,level_change_amplitude,level_change,magnitude,0.9992243609223032,6,1100.0,0.9996227719983851,6,0.0002635427632481304,6
Timer-Base-84M,1,0.01,gaussian_time_frac,gaussian,time_frac,0.8460108940447794,6,1250.0,0.9213396350782406,6,0.006346730397986753,6
Timer-Base-84M,1,0.01,gaussian_amplitude,gaussian,magnitude,0.9828562103415062,6,1100.0,0.9914608661567639,6,0.005557523879154022,6
Timer-Base-84M,1,0.01,gaussian_sigma_sec,gaussian,sigma_sec,0.7793714294675258,6,1200.0,0.8857209935792254,6,4.591491310776878e-05,6
Timer-Base-84M,1,0.01,gaussian_noise_std,gaussian_noise,std,0.9811162611260436,6,1050.0,0.9917564467123148,6,2.6606357703522566e-05,6
Timer-Base-84M,1,0.01,uniform_noise_amplitude,uniform_noise,std,0.9929477211037142,6,1150.0,0.99653393560374,6,2.3497418838997954e-05,6
Timer-Base-84M,1,0.01,random_walk_step_std,random_walk_noise,std,0.7578798563007635,6,700.0,0.9000418738684302,6,9.977738160776834e-05,6
Timer-Base-84M,1,0.01,linear_trend_slope,linear_trend,slope,0.9998828152020408,6,850.0,0.999942374471705,6,0.00015606816090716456,6
Timer-Base-84M,1,0.01,linear_trend_intercept,linear_trend,intercept,0.9999035376469271,6,950.0,0.9999614024161909,6,7.901201692489947e-06,6
Timer-Base-84M,1,0.01,quadratic_trend_a,quadratic_trend,a,0.9986101242991923,6,1200.0,0.9993111714572017,6,0.007406308577371185,6
Timer-Base-84M,1,0.01,quadratic_trend_b,quadratic_trend,slope,0.9993175689623758,6,1250.0,0.9996871980449642,6,0.0008870076092649547,6
Timer-Base-84M,1,0.01,quadratic_trend_c,quadratic_trend,intercept,0.9992669326783481,6,1000.0,0.9996789791180979,6,6.155935609560018e-05,6
Timer-Base-84M,1,0.01,log_trend_amplitude,log_trend,amplitude,0.999876441677468,6,850.0,0.9999517995687853,6,0.0001632763944413752,6
Timer-Base-84M,1,0.01,log_trend_offset,log_trend,offset,0.9993981295927367,6,1150.0,0.9997670877873084,6,4.977753584705119e-05,6
Timer-Base-84M,1,0.01,sigmoid_trend_amplitude,sigmoid_trend,amplitude,0.9973784942607291,6,900.0,0.9987240212696682,6,0.0035275192816095983,6
Timer-Base-84M,1,0.01,sigmoid_trend_center,sigmoid_trend,center,0.8885128314664411,6,1050.0,0.9434078708108297,6,0.0033890444387256234,6
Timer-Base-84M,1,0.01,sigmoid_trend_sharpness,sigmoid_trend,sharpness,0.6973411967073344,6,1250.0,0.8435306178249465,6,5.897532007557425,6
Timer-Base-84M,1,0.01,sigmoid_trend_offset,sigmoid_trend,offset,0.9912668579881485,6,650.0,0.9957552327001167,6,0.0007390549011246853,6
Timer-Base-84M,1,0.01,sine_amplitude,sine,amplitude,0.9720195314141843,6,450.0,0.9863191435425367,6,0.002347077943494456,6
Timer-Base-84M,1,0.01,sine_frequency_hz,sine,frequency_hz,0.9780573671016177,6,1250.0,0.9889748837598827,6,92.84647343882615,6
Timer-Base-84M,1,0.01,sine_phase,sine,phase,0.1172473926886658,6,1250.0,0.34288390368255833,6,2.9728686341415917,6
Timer-Base-84M,1,0.01,sine_offset,sine,offset,0.947485830016375,6,1100.0,0.9784630823351574,6,0.0007014919789790446,6
Timer-Base-84M,1,0.01,sawtooth_amplitude,sawtooth,amplitude,0.9818651381828547,6,1250.0,0.9921360142935056,6,0.0014970047118646962,6
Timer-Base-84M,1,0.01,sawtooth_frequency_hz,sawtooth,frequency_hz,0.9888210715413929,6,1250.0,0.9943987242223995,6,9.251258045807877,6
Timer-Base-84M,1,0.01,sawtooth_phase,sawtooth,phase,0.30000625438570616,6,1050.0,0.5560855406492201,6,2.3190354009856677,6
Timer-Base-84M,1,0.01,sawtooth_offset,sawtooth,offset,0.9621926855162076,6,800.0,0.982794076868392,6,0.0005002404236749842,6
Timer-Base-84M,1,0.01,square_amplitude,square,amplitude,0.9703787137409232,6,300.0,0.9866406383084871,6,0.0024253157412770965,6
Timer-Base-84M,1,0.01,square_frequency_hz,square,frequency_hz,0.9822058686892785,6,1250.0,0.9911365177093577,6,0.9126343037333641,6
Timer-Base-84M,1,0.01,square_phase,square,phase,0.29643439953714623,6,1150.0,0.5523259400990882,6,2.3220021382730223,6
Timer-Base-84M,1,0.01,square_offset,square,offset,0.7745621034958731,6,350.0,0.8848285842894182,6,0.0030121990390162964,6
Timer-Base-84M,1,0.01,square_duty_cycle,square,duty_cycle,0.9713732660599214,6,250.0,0.9857513718174745,6,0.0015518320947000726,6
Timer-Base-84M,1,0.005,spike_time_frac,spike,time_frac,0.8864755728342316,6,1250.0,0.942030179709459,6,0.0045791955238368605,6
Timer-Base-84M,1,0.005,spike_amplitude,spike,magnitude,0.43440772439618447,6,1250.0,0.6664086997281619,6,0.007408314825778362,6
Timer-Base-84M,1,0.005,level_change_time_frac,level_change,time_frac,0.9341810810947401,6,1050.0,0.9667493448653519,6,0.0026651324853239422,6
Timer-Base-84M,1,0.005,level_change_amplitude,level_change,magnitude,0.9990412677444476,6,1000.0,0.9995227579582474,6,0.0003257532467209257,6
