model,head,num_enabled,lr,signal,auroc,auroc_layer,auprc,auprc_layer
TimesFM-2.5-200M,categorical,1,0.01,constant,1.0,13,1.0,12
TimesFM-2.5-200M,categorical,1,0.01,gaussian_noise,1.0,12,1.0,12
TimesFM-2.5-200M,categorical,1,0.01,uniform_noise,1.0,13,1.0,12
TimesFM-2.5-200M,categorical,1,0.01,random_walk_noise,1.0,12,1.0,12
TimesFM-2.5-200M,categorical,1,0.01,linear_trend,0.9998898506164551,12,0.9969056844711304,13
TimesFM-2.5-200M,categorical,1,0.01,quadratic_trend,0.9994930028915405,13,0.9950411319732666,13
TimesFM-2.5-200M,categorical,1,0.01,log_trend,1.0,12,1.0,12
TimesFM-2.5-200M,categorical,1,0.01,sigmoid_trend,0.9999470710754395,13,0.9996798038482666,13
TimesFM-2.5-200M,categorical,1,0.01,sine,0.9999999403953552,12,0.9999994039535522,13
TimesFM-2.5-200M,categorical,1,0.01,sawtooth,1.0,12,1.0,12
TimesFM-2.5-200M,categorical,1,0.01,square,1.0,12,0.9999998807907104,13
TimesFM-2.5-200M,categorical,1,0.01,spike,1.0,12,1.0,12
TimesFM-2.5-200M,categorical,1,0.01,level_change,0.9999984502792358,12,0.9999797344207764,12
TimesFM-2.5-200M,categorical,1,0.01,gaussian,0.9999798536300659,12,0.9990010857582092,12
TimesFM-2.5-200M,categorical,1,0.0064,constant,1.0,12,1.0,13
TimesFM-2.5-200M,categorical,1,0.0064,gaussian_noise,1.0,12,1.0,12
TimesFM-2.5-200M,categorical,1,0.0064,uniform_noise,1.0,12,1.0,12
TimesFM-2.5-200M,categorical,1,0.0064,random_walk_noise,1.0,12,1.0,12
TimesFM-2.5-200M,categorical,1,0.0064,linear_trend,0.9999034404754639,12,0.9974637031555176,12
TimesFM-2.5-200M,categorical,1,0.0064,quadratic_trend,0.9991921782493591,13,0.9920796751976013,13
TimesFM-2.5-200M,categorical,1,0.0064,log_trend,1.0,12,1.0,12
TimesFM-2.5-200M,categorical,1,0.0064,sigmoid_trend,0.9999349117279053,13,0.9995301961898804,13
TimesFM-2.5-200M,categorical,1,0.0064,sine,0.9999999403953552,12,0.9999992251396179,12
TimesFM-2.5-200M,categorical,1,0.0064,sawtooth,0.9999999403953552,12,0.9999998807907104,13
TimesFM-2.5-200M,categorical,1,0.0064,square,1.0,13,0.9999998211860657,13
TimesFM-2.5-200M,categorical,1,0.0064,spike,1.0,12,1.0,12
TimesFM-2.5-200M,categorical,1,0.0064,level_change,0.9999988675117493,12,0.9999850392341614,12
TimesFM-2.5-200M,categorical,1,0.0064,gaussian,0.9999710917472839,13,0.9983185529708862,12
TimesFM-2.5-200M,categorical,1,0.005,constant,1.0,12,1.0,13
TimesFM-2.5-200M,categorical,1,0.005,gaussian_noise,1.0,12,1.0,12
TimesFM-2.5-200M,categorical,1,0.005,uniform_noise,1.0,12,1.0,12
TimesFM-2.5-200M,categorical,1,0.005,random_walk_noise,1.0,12,1.0,12
TimesFM-2.5-200M,categorical,1,0.005,linear_trend,0.9998857975006104,12,0.9974101781845093,12
TimesFM-2.5-200M,categorical,1,0.005,quadratic_trend,0.9990065693855286,13,0.9904617667198181,13
TimesFM-2.5-200M,categorical,1,0.005,log_trend,1.0,12,1.0,12
TimesFM-2.5-200M,categorical,1,0.005,sigmoid_trend,0.9999245405197144,13,0.9993941783905029,13
TimesFM-2.5-200M,categorical,1,0.005,sine,0.9999999403953552,12,0.9999991655349731,12
TimesFM-2.5-200M,categorical,1,0.005,sawtooth,0.9999999403953552,13,0.9999993443489075,13
TimesFM-2.5-200M,categorical,1,0.005,square,1.0,13,0.9999997615814209,13
TimesFM-2.5-200M,categorical,1,0.005,spike,1.0,12,1.0,12
TimesFM-2.5-200M,categorical,1,0.005,level_change,0.9999977350234985,12,0.999969482421875,12
TimesFM-2.5-200M,categorical,1,0.005,gaussian,0.999971866607666,12,0.9981868267059326,12
TimesFM-2.5-200M,categorical,1,0.003,constant,1.0,12,1.0,12
TimesFM-2.5-200M,categorical,1,0.003,gaussian_noise,1.0,12,1.0,12
TimesFM-2.5-200M,categorical,1,0.003,uniform_noise,1.0,12,1.0,12
TimesFM-2.5-200M,categorical,1,0.003,random_walk_noise,1.0,12,1.0,12
TimesFM-2.5-200M,categorical,1,0.003,linear_trend,0.9998839497566223,13,0.9978194236755371,13
TimesFM-2.5-200M,categorical,1,0.003,quadratic_trend,0.9984158277511597,13,0.9854559898376465,13
TimesFM-2.5-200M,categorical,1,0.003,log_trend,1.0,12,1.0,12
TimesFM-2.5-200M,categorical,1,0.003,sigmoid_trend,0.9998821020126343,13,0.9988247156143188,13
TimesFM-2.5-200M,categorical,1,0.003,sine,0.9999998807907104,12,0.9999987483024597,12
TimesFM-2.5-200M,categorical,1,0.003,sawtooth,0.9999997615814209,13,0.9999976754188538,13
TimesFM-2.5-200M,categorical,1,0.003,square,0.9999998807907104,13,0.9999992251396179,13
TimesFM-2.5-200M,categorical,1,0.003,spike,1.0,12,1.0,12
TimesFM-2.5-200M,categorical,1,0.003,level_change,0.9999949932098389,12,0.9999332427978516,12
TimesFM-2.5-200M,categorical,1,0.003,gaussian,0.9999750852584839,12,0.9981625080108643,12
