model,num_enabled,lr,target,signal,metric,r2,r2_layer,r2_best_step,pearson,pearson_layer,mse,mse_layer
TimesFM-2.5-200M,1,0.01,spike_time_frac,spike,time_frac,0.9985944064974853,20,600.0,0.9993938210385245,20,5.814915431255812e-05,20
TimesFM-2.5-200M,1,0.01,spike_amplitude,spike,magnitude,-0.015412980136775944,20,150.0,0.030018852347792037,20,0.013300215295557546,20
TimesFM-2.5-200M,1,0.01,level_change_time_frac,level_change,time_frac,0.9991733736621345,20,950.0,0.9996791927791376,20,3.3777281131310795e-05,20
TimesFM-2.5-200M,1,0.01,level_change_amplitude,level_change,magnitude,0.7505035407064218,20,50.0,0.8676770154255516,20,0.08477265804875936,20
TimesFM-2.5-200M,1,0.01,gaussian_time_frac,gaussian,time_frac,0.9977701064541651,20,1250.0,0.998891912754887,20,9.204887316482936e-05,20
TimesFM-2.5-200M,1,0.01,gaussian_amplitude,gaussian,magnitude,0.7699874020253913,20,600.0,0.8778674313511238,20,0.07456347349180263,20
TimesFM-2.5-200M,1,0.01,gaussian_sigma_sec,gaussian,sigma_sec,0.9956751695921429,20,1200.0,0.9979075169782373,20,9.00038521318192e-07,20
TimesFM-2.5-200M,1,0.01,gaussian_noise_std,gaussian_noise,std,-0.01171805227000311,20,550.0,0.031180491283631723,20,0.0014254662476259432,20
TimesFM-2.5-200M,1,0.01,uniform_noise_amplitude,uniform_noise,std,-0.01692234197248066,20,1100.0,0.0063283294496863565,20,0.003388273570497454,20
TimesFM-2.5-200M,1,0.01,random_walk_step_std,random_walk_noise,std,-0.04085967823318937,20,350.0,0.010527641807406509,20,0.0004289368564237284,20
TimesFM-2.5-200M,1,0.01,linear_trend_slope,linear_trend,slope,0.8277923111414696,20,1250.0,0.9099114117815941,20,0.2293483264235881,20
TimesFM-2.5-200M,1,0.01,linear_trend_intercept,linear_trend,intercept,0.47105588883689586,20,900.0,0.688078462512373,20,0.04332564957435627,20
TimesFM-2.5-200M,1,0.01,quadratic_trend_a,quadratic_trend,a,0.8953079970702078,20,1050.0,0.946358690178302,20,0.5578781461036374,20
TimesFM-2.5-200M,1,0.01,quadratic_trend_b,quadratic_trend,slope,0.8882798170168567,20,1250.0,0.943876696312193,20,0.14521123300534264,20
TimesFM-2.5-200M,1,0.01,quadratic_trend_c,quadratic_trend,intercept,0.2546817888052898,20,900.0,0.5128215423549939,20,0.06258812500887621,20
