model,head,num_enabled,lr,signal,auroc,auroc_layer,auprc,auprc_layer
Toto-2.0-1B,categorical,1,0.01,constant,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.01,gaussian_noise,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.01,uniform_noise,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.01,random_walk_noise,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.01,linear_trend,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.01,quadratic_trend,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.01,log_trend,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.01,sigmoid_trend,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.01,sine,1.0,34,1.0,34
Toto-2.0-1B,categorical,1,0.01,sawtooth,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.01,square,0.9999999403953552,29,1.0,29
Toto-2.0-1B,categorical,1,0.01,spike,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.01,level_change,0.9999753832817078,29,0.9993611574172974,29
Toto-2.0-1B,categorical,1,0.01,gaussian,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.005,constant,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.005,gaussian_noise,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.005,uniform_noise,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.005,random_walk_noise,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.005,linear_trend,1.0,34,1.0,34
Toto-2.0-1B,categorical,1,0.005,quadratic_trend,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.005,log_trend,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.005,sigmoid_trend,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.005,sine,1.0,34,1.0,29
Toto-2.0-1B,categorical,1,0.005,sawtooth,0.9999999403953552,29,1.0,29
Toto-2.0-1B,categorical,1,0.005,square,1.0,29,1.0,34
Toto-2.0-1B,categorical,1,0.005,spike,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.005,level_change,0.9999918341636658,34,0.9997869729995728,34
Toto-2.0-1B,categorical,1,0.005,gaussian,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.003,constant,1.0,34,1.0,29
Toto-2.0-1B,categorical,1,0.003,gaussian_noise,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.003,uniform_noise,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.003,random_walk_noise,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.003,linear_trend,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.003,quadratic_trend,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.003,log_trend,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.003,sigmoid_trend,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.003,sine,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.003,sawtooth,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.003,square,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.003,spike,1.0,34,1.0,29
Toto-2.0-1B,categorical,1,0.003,level_change,0.999975323677063,29,0.9993611574172974,29
Toto-2.0-1B,categorical,1,0.003,gaussian,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.001,constant,1.0000001192092896,34,1.0,29
Toto-2.0-1B,categorical,1,0.001,gaussian_noise,0.9999999403953552,34,1.0,29
Toto-2.0-1B,categorical,1,0.001,uniform_noise,1.0,34,1.0,29
Toto-2.0-1B,categorical,1,0.001,random_walk_noise,1.0,34,1.0,29
Toto-2.0-1B,categorical,1,0.001,linear_trend,1.0,34,1.0,34
Toto-2.0-1B,categorical,1,0.001,quadratic_trend,0.9999999403953552,29,1.0,29
Toto-2.0-1B,categorical,1,0.001,log_trend,1.0,29,1.0,29
Toto-2.0-1B,categorical,1,0.001,sigmoid_trend,1.0,34,1.0,34
Toto-2.0-1B,categorical,1,0.001,sine,1.0,34,1.0,29
Toto-2.0-1B,categorical,1,0.001,sawtooth,1.0,34,1.0,29
Toto-2.0-1B,categorical,1,0.001,square,1.0,29,0.9999998807907104,29
Toto-2.0-1B,categorical,1,0.001,spike,1.0000001192092896,34,1.0,29
Toto-2.0-1B,categorical,1,0.001,level_change,0.999991774559021,34,0.9997862577438354,34
Toto-2.0-1B,categorical,1,0.001,gaussian,1.0,29,1.0,29
