model,num_enabled,lr,target,signal,metric,r2,r2_layer,r2_best_step,pearson,pearson_layer,mse,mse_layer
Toto-2.0-1B,1,0.01,spike_time_frac,spike,time_frac,-53.84114658029981,0,100.0,0.9943358233033391,36,2.28935046884767,0
Toto-2.0-1B,1,0.01,spike_amplitude,spike,magnitude,-0.011973310706978602,36,200.0,0.002597009667639813,36,0.01325516136690313,36
Toto-2.0-1B,1,0.01,level_change_time_frac,level_change,time_frac,0.9983890101647318,36,750.0,0.9992030726182092,36,6.777165485358661e-05,36
Toto-2.0-1B,1,0.01,level_change_amplitude,level_change,magnitude,0.7440910408002408,36,450.0,0.8673585366457965,36,0.08695146516820122,36
Toto-2.0-1B,1,0.01,gaussian_time_frac,gaussian,time_frac,0.995468232445109,36,750.0,0.9978003587365873,36,0.0001884678878383322,36
Toto-2.0-1B,1,0.01,gaussian_amplitude,gaussian,magnitude,0.7818401882707453,36,1000.0,0.884456819882948,36,0.0707211408509313,36
Toto-2.0-1B,1,0.01,gaussian_sigma_sec,gaussian,sigma_sec,0.23202168249521227,36,100.0,0.8275820076472917,36,0.00015982362407452867,36
Toto-2.0-1B,1,0.01,gaussian_noise_std,gaussian_noise,std,-337.3351537669607,36,1250.0,-0.000354043757148046,36,0.47669935413134806,36
Toto-2.0-1B,1,0.01,uniform_noise_amplitude,uniform_noise,std,-0.0957202330653033,36,500.0,-0.008996291194785608,0,0.003650819490457164,36
Toto-2.0-1B,1,0.01,random_walk_step_std,random_walk_noise,std,-1009.893988184959,36,1050.0,0.011439870277358028,36,0.41658803634869795,36
Toto-2.0-1B,1,0.01,linear_trend_slope,linear_trend,slope,0.746115707515363,36,350.0,0.8649136514751109,36,0.33812623566664773,36
Toto-2.0-1B,1,0.01,linear_trend_intercept,linear_trend,intercept,-0.10266042937112374,36,250.0,-0.023300874192482057,36,0.09031857686702026,36
Toto-2.0-1B,1,0.01,quadratic_trend_a,quadratic_trend,a,0.8835006790776265,36,1250.0,0.9401492890728183,36,0.6207964635282712,36
Toto-2.0-1B,1,0.01,quadratic_trend_b,quadratic_trend,slope,0.8736473861450976,36,850.0,0.9358089944820841,36,0.16423011815230096,36
Toto-2.0-1B,1,0.01,quadratic_trend_c,quadratic_trend,intercept,-0.06405549898150542,36,350.0,0.0022828044531018146,0,0.08935410082075461,36
Toto-2.0-1B,1,0.01,log_trend_amplitude,log_trend,amplitude,0.752222675820094,36,800.0,0.8676382756929253,36,0.3274258446327596,36
Toto-2.0-1B,1,0.01,log_trend_offset,log_trend,offset,-0.1287980737864154,36,150.0,0.00014070894333810842,36,0.0933569517688519,36
Toto-2.0-1B,1,0.01,sigmoid_trend_amplitude,sigmoid_trend,amplitude,0.7488214021254181,36,1000.0,0.8714677491105698,36,0.3379879486270681,36
Toto-2.0-1B,1,0.01,sigmoid_trend_center,sigmoid_trend,center,0.982604194454166,36,1000.0,0.9916060398468192,36,0.000528806667329747,36
Toto-2.0-1B,1,0.01,sigmoid_trend_sharpness,sigmoid_trend,sharpness,0.9848456906878184,36,1250.0,0.9939490980241916,36,0.29529299411983223,36
Toto-2.0-1B,1,0.01,sigmoid_trend_offset,sigmoid_trend,offset,-0.07536606427651593,36,550.0,0.030052870482811925,0,0.0910044242070246,36
Toto-2.0-1B,1,0.01,sine_amplitude,sine,amplitude,-0.023337806656307025,36,450.0,0.004196856509398241,36,0.08584036351573453,36
Toto-2.0-1B,1,0.01,sine_frequency_hz,sine,frequency_hz,0.9830005723460287,0,200.0,0.9972233126233051,0,71.41609996791969,0
Toto-2.0-1B,1,0.01,sine_phase,sine,phase,0.010571327693132626,36,1000.0,0.21096076665264246,36,3.33212435880582,36
Toto-2.0-1B,1,0.01,sine_offset,sine,offset,-142.24289125160252,36,1000.0,0.016438103911088433,36,1.9134595346379777,36
Toto-2.0-1B,1,0.01,sawtooth_amplitude,sawtooth,amplitude,-0.08278123157257533,36,200.0,0.0036759190329813786,36,0.08938191103559026,36
Toto-2.0-1B,1,0.01,sawtooth_frequency_hz,sawtooth,frequency_hz,0.991655896106914,36,1200.0,0.9960425540498609,36,6.794372574123645,36
Toto-2.0-1B,1,0.01,sawtooth_phase,sawtooth,phase,0.21295222072687525,36,300.0,0.5119350195771296,36,2.607439957623901,36
Toto-2.0-1B,1,0.01,sawtooth_offset,sawtooth,offset,-1.758267567291968,36,100.0,0.009601104005354917,36,0.036495502399743474,36
Toto-2.0-1B,1,0.01,square_amplitude,square,amplitude,-0.03063217602605639,36,1200.0,0.014951192764813392,36,0.08438554687059596,36
Toto-2.0-1B,1,0.01,square_frequency_hz,square,frequency_hz,0.9739657549598424,36,1250.0,0.9884784882119002,36,1.2500897128398274,36
Toto-2.0-1B,1,0.01,square_phase,square,phase,0.41301645818360533,36,1100.0,0.6753388844221613,36,1.937242296002079,36
Toto-2.0-1B,1,0.01,square_offset,square,offset,-0.5466332712249722,36,150.0,-0.0008580271648078123,0,0.02066541307179562,36
Toto-2.0-1B,1,0.01,square_duty_cycle,square,duty_cycle,-9.044632405631523,36,1000.0,0.9632863949950983,36,0.5445113990003628,36
Toto-2.0-1B,1,0.0067,spike_time_frac,spike,time_frac,0.9962265735386115,36,1100.0,0.998427299726741,36,0.0001575221558486714,36
Toto-2.0-1B,1,0.0067,spike_amplitude,spike,magnitude,-0.012659501681393515,36,500.0,0.005026053509359346,36,0.013264149323401734,36
Toto-2.0-1B,1,0.0067,level_change_time_frac,level_change,time_frac,0.9964317187592525,36,250.0,0.9987002761831189,36,0.00015011163905214887,36
Toto-2.0-1B,1,0.0067,level_change_amplitude,level_change,magnitude,0.7460973603741448,36,900.0,0.8672455183060619,36,0.0862697679462981,36
Toto-2.0-1B,1,0.0067,gaussian_time_frac,gaussian,time_frac,0.9906182440980463,36,200.0,0.9968863009368586,36,0.0003901699938576176,36
Toto-2.0-1B,1,0.0067,gaussian_amplitude,gaussian,magnitude,0.7651648751620153,36,1000.0,0.8843456865616426,36,0.07612679809709462,36
Toto-2.0-1B,1,0.0067,gaussian_sigma_sec,gaussian,sigma_sec,0.3989259645397991,36,150.0,0.855325373041415,36,0.0001250892486085744,36
Toto-2.0-1B,1,0.0067,gaussian_noise_std,gaussian_noise,std,-0.092084312758407,36,50.0,-0.002186298920237872,0,0.0015386987747288213,36
Toto-2.0-1B,1,0.0067,uniform_noise_amplitude,uniform_noise,std,-0.027309895857435817,36,250.0,0.009323395786086494,36,0.0034228837593366966,36
Toto-2.0-1B,1,0.0067,random_walk_step_std,random_walk_noise,std,-0.5712742295552486,36,800.0,0.009041675973306913,36,0.000647519970942759,36
Toto-2.0-1B,1,0.0067,linear_trend_slope,linear_trend,slope,0.7470277029952979,36,850.0,0.8649352197541692,0,0.33691162882524966,36
Toto-2.0-1B,1,0.0067,linear_trend_intercept,linear_trend,intercept,-0.08157143779295994,36,1050.0,0.0233023170789062,0,0.08859118404855608,36
Toto-2.0-1B,1,0.0067,quadratic_trend_a,quadratic_trend,a,0.8835231357198912,36,1150.0,0.9399854974759806,36,0.6206767975594897,36
Toto-2.0-1B,1,0.0067,quadratic_trend_b,quadratic_trend,slope,0.8690363394210642,36,1050.0,0.936513459767829,36,0.17022344686304217,36
Toto-2.0-1B,1,0.0067,quadratic_trend_c,quadratic_trend,intercept,-0.017869043006292662,36,950.0,-0.00531020562244655,0,0.08547559143124181,36
Toto-2.0-1B,1,0.0067,log_trend_amplitude,log_trend,amplitude,0.7444143370106131,36,1150.0,0.8676383099776437,36,0.33774418969655845,36
Toto-2.0-1B,1,0.0067,log_trend_offset,log_trend,offset,-0.029305437129332423,36,950.0,0.00015391297619014827,0,0.08512843907251587,36
Toto-2.0-1B,1,0.0067,sigmoid_trend_amplitude,sigmoid_trend,amplitude,0.757340249716436,36,850.0,0.8706712343707337,36,0.32652491855078575,36
Toto-2.0-1B,1,0.0067,sigmoid_trend_center,sigmoid_trend,center,0.9851113936737584,36,650.0,0.9938802497185419,36,0.0004525915325864211,36
Toto-2.0-1B,1,0.0067,sigmoid_trend_sharpness,sigmoid_trend,sharpness,0.9778424426180917,36,1200.0,0.990866486235448,36,0.43175649426834617,36
