model,head,num_enabled,lr,signal,auroc,auroc_layer,auprc,auprc_layer
Toto-2.0-2.5B,categorical,1,0.01,constant,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.01,gaussian_noise,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.01,uniform_noise,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.01,random_walk_noise,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.01,linear_trend,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.01,quadratic_trend,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.01,log_trend,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.01,sigmoid_trend,1.0,48,1.0,48
Toto-2.0-2.5B,categorical,1,0.01,sine,1.0000001192092896,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.01,sawtooth,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.01,square,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.01,spike,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.01,level_change,0.9999836087226868,46,0.9995740056037903,46
Toto-2.0-2.5B,categorical,1,0.01,gaussian,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.004,constant,1.0,48,1.0,46
Toto-2.0-2.5B,categorical,1,0.004,gaussian_noise,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.004,uniform_noise,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.004,random_walk_noise,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.004,linear_trend,1.0,48,1.0,48
Toto-2.0-2.5B,categorical,1,0.004,quadratic_trend,0.9999999403953552,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.004,log_trend,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.004,sigmoid_trend,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.004,sine,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.004,sawtooth,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.004,square,0.9999999403953552,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.004,spike,1.0,48,1.0,46
Toto-2.0-2.5B,categorical,1,0.004,level_change,1.0,46,0.9997869729995728,46
Toto-2.0-2.5B,categorical,1,0.004,gaussian,0.9999994039535522,48,0.999992311000824,48
Toto-2.0-2.5B,categorical,1,0.0025,constant,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.0025,gaussian_noise,1.0000001192092896,48,1.0,46
Toto-2.0-2.5B,categorical,1,0.0025,uniform_noise,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.0025,random_walk_noise,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.0025,linear_trend,1.0,48,1.0,48
Toto-2.0-2.5B,categorical,1,0.0025,quadratic_trend,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.0025,log_trend,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.0025,sigmoid_trend,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.0025,sine,0.9999999403953552,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.0025,sawtooth,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.0025,square,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.0025,spike,1.0000001192092896,48,1.0,46
Toto-2.0-2.5B,categorical,1,0.0025,level_change,0.9999999403953552,46,0.9999997019767761,46
Toto-2.0-2.5B,categorical,1,0.0025,gaussian,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.001,constant,1.0000001192092896,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.001,gaussian_noise,1.0,48,1.0,46
Toto-2.0-2.5B,categorical,1,0.001,uniform_noise,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.001,random_walk_noise,1.0000001192092896,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.001,linear_trend,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.001,quadratic_trend,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.001,log_trend,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.001,sigmoid_trend,0.9999999403953552,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.001,sine,1.0,46,0.9999998807907104,46
Toto-2.0-2.5B,categorical,1,0.001,sawtooth,1.0,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.001,square,0.9999999403953552,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.001,spike,0.9999999403953552,46,1.0,46
Toto-2.0-2.5B,categorical,1,0.001,level_change,0.9999918341636658,46,0.9997869729995728,46
Toto-2.0-2.5B,categorical,1,0.001,gaussian,0.9999963045120239,48,0.9999533295631409,48
