model,num_enabled,lr,target,signal,metric,r2,r2_layer,r2_best_step,pearson,pearson_layer,mse,mse_layer
Toto-2.0-2.5B,1,0.01,spike_time_frac,spike,time_frac,-0.7792064606145799,48,50.0,0.9953928644830039,48,0.07427319446760049,48
Toto-2.0-2.5B,1,0.01,spike_amplitude,spike,magnitude,-3.913823085556044,48,100.0,0.003751310322638024,48,0.06436288115341306,48
Toto-2.0-2.5B,1,0.01,level_change_time_frac,level_change,time_frac,-10.474675849735132,48,250.0,0.8916481269200566,48,0.48272047049604966,48
Toto-2.0-2.5B,1,0.01,level_change_amplitude,level_change,magnitude,-0.7690858445059185,48,700.0,0.8673490857035117,48,0.6010911328354108,48
Toto-2.0-2.5B,1,0.01,gaussian_time_frac,gaussian,time_frac,-51.35910585352083,48,200.0,0.7999357245129606,48,2.1775190297803935,48
Toto-2.0-2.5B,1,0.01,gaussian_amplitude,gaussian,magnitude,-0.5114707304200579,48,1100.0,0.8768801684511917,48,0.489975369756715,48
Toto-2.0-2.5B,1,0.01,gaussian_sigma_sec,gaussian,sigma_sec,-2.1955005027849825,48,100.0,0.6160907225633048,48,0.0006650141800180323,48
Toto-2.0-2.5B,1,0.01,gaussian_noise_std,gaussian_noise,std,-221.93937494826383,48,50.0,0.0013361291265580255,0,0.31411177604525303,48
Toto-2.0-2.5B,1,0.01,uniform_noise_amplitude,uniform_noise,std,-95.3483154413512,48,50.0,0.0016840338054420472,48,0.3210220065955797,48
Toto-2.0-2.5B,1,0.01,random_walk_step_std,random_walk_noise,std,-1.0061181979885032,48,400.0,-0.013922826938739238,0,0.0008267185783584954,48
Toto-2.0-2.5B,1,0.01,linear_trend_slope,linear_trend,slope,0.559849783462675,48,850.0,0.8649114898948334,48,0.5861974933113728,48
Toto-2.0-2.5B,1,0.01,linear_trend_intercept,linear_trend,intercept,-0.043386263278961446,48,350.0,0.02330399034232447,0,0.0854634481403308,48
Toto-2.0-2.5B,1,0.01,quadratic_trend_a,quadratic_trend,a,0.8716681558304067,48,500.0,0.9358979820402266,48,0.6838490936065589,48
Toto-2.0-2.5B,1,0.01,quadratic_trend_b,quadratic_trend,slope,0.8692956916770835,48,1050.0,0.9348799680497545,48,0.16988634697765298,48
Toto-2.0-2.5B,1,0.01,quadratic_trend_c,quadratic_trend,intercept,-0.04277746346603983,48,1200.0,-0.010597831513099659,0,0.08756727698258415,48
Toto-2.0-2.5B,1,0.01,log_trend_amplitude,log_trend,amplitude,0.7061958794719709,48,750.0,0.8676384856165017,48,0.3882480474711514,48
Toto-2.0-2.5B,1,0.01,log_trend_offset,log_trend,offset,-0.04205895565277551,48,500.0,0.0001653682609114886,48,0.08618321551245292,48
Toto-2.0-2.5B,1,0.01,sigmoid_trend_amplitude,sigmoid_trend,amplitude,0.7557028692203812,48,150.0,0.8698921524049307,48,0.3287281909619959,48
Toto-2.0-2.5B,1,0.01,sigmoid_trend_center,sigmoid_trend,center,0.8782636364525288,48,750.0,0.9777342194082363,48,0.003700604753873981,48
Toto-2.0-2.5B,1,0.01,sigmoid_trend_sharpness,sigmoid_trend,sharpness,0.9916970270432169,48,1250.0,0.9959767558218543,48,0.1617896067710324,48
Toto-2.0-2.5B,1,0.01,sigmoid_trend_offset,sigmoid_trend,offset,-0.03177937463537961,48,300.0,0.026249887986769974,48,0.08731583691972673,48
Toto-2.0-2.5B,1,0.01,sine_amplitude,sine,amplitude,-3.6584816368607553,48,100.0,-0.007101982721300061,48,0.3907661326870188,48
Toto-2.0-2.5B,1,0.01,sine_frequency_hz,sine,frequency_hz,0.9907005033073587,0,550.0,0.9987660677393436,0,39.06800858073912,0
Toto-2.0-2.5B,1,0.01,sine_phase,sine,phase,-0.9302320123606225,48,1100.0,0.2000655063519747,48,6.500491936965839,48
Toto-2.0-2.5B,1,0.01,sine_offset,sine,offset,-16.799318318126844,48,650.0,0.0058232530666548505,0,0.2377659027145279,48
Toto-2.0-2.5B,1,0.01,sawtooth_amplitude,sawtooth,amplitude,-0.20171640407574554,48,50.0,0.024898744889150014,0,0.09919982503123786,48
Toto-2.0-2.5B,1,0.01,sawtooth_frequency_hz,sawtooth,frequency_hz,0.9943129409856757,48,1150.0,0.9974997562248634,48,4.6308145595317045,48
Toto-2.0-2.5B,1,0.01,sawtooth_phase,sawtooth,phase,0.2526428719246532,48,300.0,0.6061822537148096,48,2.475947318164607,48
Toto-2.0-2.5B,1,0.01,sawtooth_offset,sawtooth,offset,-8.366104458510284,48,50.0,0.003173072625813639,0,0.12392586266654518,48
Toto-2.0-2.5B,1,0.01,square_amplitude,square,amplitude,-3.8859812057325103,48,1200.0,0.024281531033290473,48,0.4000517407044041,48
Toto-2.0-2.5B,1,0.01,square_frequency_hz,square,frequency_hz,0.9823343245820174,48,1250.0,0.9911815096106511,48,0.8482550224261748,48
Toto-2.0-2.5B,1,0.01,square_phase,square,phase,0.3876975533444964,48,650.0,0.6644609849980158,48,2.020803162446467,48
Toto-2.0-2.5B,1,0.01,square_offset,square,offset,-2.045807257903549,48,50.0,-0.003378842589151977,0,0.040696696684791776,48
Toto-2.0-2.5B,1,0.01,square_duty_cycle,square,duty_cycle,-43.3903421928112,48,400.0,0.9699222181836303,48,2.406364549086033,48
Toto-2.0-2.5B,1,0.005,spike_time_frac,spike,time_frac,0.9931124862919091,48,100.0,0.9965997602561861,48,0.00028752011436750373,48
Toto-2.0-2.5B,1,0.005,spike_amplitude,spike,magnitude,-0.01919399238890418,48,200.0,-0.006027247951797836,0,0.013349740245476617,48
Toto-2.0-2.5B,1,0.005,level_change_time_frac,level_change,time_frac,0.9955005580579473,48,550.0,0.9992005784984862,48,0.00018928401635741763,48
Toto-2.0-2.5B,1,0.005,level_change_amplitude,level_change,magnitude,0.7496227055417011,48,750.0,0.8674847266426897,48,0.08507194381188243,48
Toto-2.0-2.5B,1,0.005,gaussian_time_frac,gaussian,time_frac,0.9923754802920767,48,200.0,0.9969668794984615,48,0.000317089768556891,48
Toto-2.0-2.5B,1,0.005,gaussian_amplitude,gaussian,magnitude,0.7829592411555572,48,1250.0,0.8895711325388509,48,0.07035837606827444,48
Toto-2.0-2.5B,1,0.005,gaussian_sigma_sec,gaussian,sigma_sec,-0.5257297066894,48,1150.0,0.9193686895616895,48,0.00031751892667171216,48
Toto-2.0-2.5B,1,0.005,gaussian_noise_std,gaussian_noise,std,-0.45918326586488023,48,200.0,0.0017551999013004835,48,0.0020559250573062558,48
Toto-2.0-2.5B,1,0.005,uniform_noise_amplitude,uniform_noise,std,-0.06873355783764845,48,1050.0,0.0012550067314037005,48,0.003560902852130483,48
Toto-2.0-2.5B,1,0.005,random_walk_step_std,random_walk_noise,std,-0.4999637823783436,48,250.0,-0.0052411805337233995,0,0.00061813303273976,48
Toto-2.0-2.5B,1,0.005,linear_trend_slope,linear_trend,slope,0.7457954875238999,48,1100.0,0.8649119169131427,48,0.33855270860532005,48
Toto-2.0-2.5B,1,0.005,linear_trend_intercept,linear_trend,intercept,-0.006649794971939071,48,950.0,0.023347947224385504,48,0.08245437531225898,48
Toto-2.0-2.5B,1,0.005,quadratic_trend_a,quadratic_trend,a,0.8837398228003037,48,950.0,0.9401251029999416,48,0.6195221249644279,48
Toto-2.0-2.5B,1,0.005,quadratic_trend_b,quadratic_trend,slope,0.8773371557907997,48,650.0,0.9368113649514439,48,0.15943424344594695,48
Toto-2.0-2.5B,1,0.005,quadratic_trend_c,quadratic_trend,intercept,-0.01153977084360891,48,150.0,0.00484645201804296,48,0.0849440905617028,48
Toto-2.0-2.5B,1,0.005,log_trend_amplitude,log_trend,amplitude,0.7484296344023151,48,600.0,0.867639583655646,0,0.33243816686222044,48
Toto-2.0-2.5B,1,0.005,log_trend_offset,log_trend,offset,-0.003710212282778569,48,1250.0,-0.00011704037785301651,48,0.08301159264355502,48
Toto-2.0-2.5B,1,0.005,sigmoid_trend_amplitude,sigmoid_trend,amplitude,0.7588882441573609,48,800.0,0.8714621195698758,48,0.32444192473681616,48
Toto-2.0-2.5B,1,0.005,sigmoid_trend_center,sigmoid_trend,center,0.9915685061628077,48,1050.0,0.9974122601208936,48,0.0002563048974598774,48
Toto-2.0-2.5B,1,0.005,sigmoid_trend_sharpness,sigmoid_trend,sharpness,0.9893800147996941,48,1250.0,0.995196892946124,48,0.20693831455491055,48
Toto-2.0-2.5B,1,0.005,sigmoid_trend_offset,sigmoid_trend,offset,-0.022880487502223268,48,550.0,0.02790847026972144,0,0.08656275559557221,48
Toto-2.0-2.5B,1,0.005,sine_amplitude,sine,amplitude,-0.008682478498027946,48,700.0,0.03442037899414904,48,0.08461103465837554,48
Toto-2.0-2.5B,1,0.005,sine_frequency_hz,sine,frequency_hz,0.9854743049189064,0,550.0,0.9991244353535306,0,61.02373051204189,0
Toto-2.0-2.5B,1,0.005,sine_phase,sine,phase,0.034810593315944494,48,1100.0,0.23366651570047667,48,3.250493161245087,48
Toto-2.0-2.5B,1,0.005,sine_offset,sine,offset,-0.0937703190180963,48,500.0,0.0050716579780292394,0,0.014610744221527189,48
Toto-2.0-2.5B,1,0.005,sawtooth_amplitude,sawtooth,amplitude,-0.023407892661957863,48,500.0,0.006397962978907384,48,0.08448073400956509,48
Toto-2.0-2.5B,1,0.005,sawtooth_frequency_hz,sawtooth,frequency_hz,0.9927466419462608,48,1250.0,0.9988608481848719,0,5.906208463135211,48
Toto-2.0-2.5B,1,0.005,sawtooth_phase,sawtooth,phase,0.459149600680404,48,1250.0,0.7284544227626227,48,1.791803470413416,48
Toto-2.0-2.5B,1,0.005,sawtooth_offset,sawtooth,offset,-0.06720224997244961,48,150.0,-0.016125852649256648,0,0.01412048734384384,48
Toto-2.0-2.5B,1,0.005,square_amplitude,square,amplitude,-0.02645578948471239,48,550.0,-0.005077001122764914,0,0.08404359494008937,48
Toto-2.0-2.5B,1,0.005,square_frequency_hz,square,frequency_hz,0.9789504338764964,48,1200.0,0.9896072657367244,48,1.0107397402976257,48
Toto-2.0-2.5B,1,0.005,square_phase,square,phase,0.46600918384379597,48,1200.0,0.7156353618031015,48,1.7623485516022277,48
Toto-2.0-2.5B,1,0.005,square_offset,square,offset,-0.060626941415468094,48,450.0,0.0045580473310176586,48,0.014171616676826036,48
Toto-2.0-2.5B,1,0.005,square_duty_cycle,square,duty_cycle,0.9813620453244671,48,750.0,0.9914188631158691,48,0.001010348449306116,48
Toto-2.0-2.5B,1,0.004,spike_time_frac,spike,time_frac,0.9979616080623166,48,1250.0,0.9990112013095191,48,8.509292436834652e-05,48
Toto-2.0-2.5B,1,0.004,spike_amplitude,spike,magnitude,-0.006035718140311008,48,500.0,-0.00035954731102059843,48,0.013177388814238555,48
Toto-2.0-2.5B,1,0.004,level_change_time_frac,level_change,time_frac,0.9978756352901914,48,600.0,0.9990539903304848,48,8.936847939348887e-05,48
Toto-2.0-2.5B,1,0.004,level_change_amplitude,level_change,magnitude,0.7464031933312598,48,300.0,0.867246964045657,48,0.08616585355501988,48
Toto-2.0-2.5B,1,0.004,gaussian_time_frac,gaussian,time_frac,0.9979390917279672,48,950.0,0.9990625852101145,48,8.570938918509824e-05,48
Toto-2.0-2.5B,1,0.004,gaussian_amplitude,gaussian,magnitude,0.7678847215222326,48,800.0,0.8772767026939241,48,0.07524510207797383,48
Toto-2.0-2.5B,1,0.004,gaussian_sigma_sec,gaussian,sigma_sec,0.7310266125009003,48,500.0,0.9023131794483336,48,5.597593133798422e-05,48
Toto-2.0-2.5B,1,0.004,gaussian_noise_std,gaussian_noise,std,-0.09242296656998716,48,1000.0,-0.0017078042133734208,48,0.001539175923057799,48
Toto-2.0-2.5B,1,0.004,uniform_noise_amplitude,uniform_noise,std,-0.0502935645279361,48,700.0,0.02374174013983539,0,0.0034994628194036387,48
Toto-2.0-2.5B,1,0.004,random_walk_step_std,random_walk_noise,std,-0.7809519012121797,48,800.0,-0.018279297350406305,0,0.00073392785398751,48
Toto-2.0-2.5B,1,0.004,linear_trend_slope,linear_trend,slope,0.7443590109323958,48,250.0,0.8649125668024216,0,0.3404658258673418,48
Toto-2.0-2.5B,1,0.004,linear_trend_intercept,linear_trend,intercept,-0.008535844611062382,48,1050.0,0.023338082878991466,48,0.08260886105852207,48
Toto-2.0-2.5B,1,0.004,quadratic_trend_a,quadratic_trend,a,0.8839957604721804,48,900.0,0.9406018486427633,48,0.6181582955418458,48
Toto-2.0-2.5B,1,0.004,quadratic_trend_b,quadratic_trend,slope,0.8759408910076624,48,400.0,0.9361519991343245,48,0.16124907515627374,48
Toto-2.0-2.5B,1,0.004,quadratic_trend_c,quadratic_trend,intercept,-0.008076096544423317,48,300.0,0.02280604848342981,48,0.08465322838126582,48
