model,num_enabled,lr,target,signal,metric,r2,r2_layer,r2_best_step,pearson,pearson_layer,mse,mse_layer
Toto-2.0-313M,1,0.01,spike_time_frac,spike,time_frac,0.990615846153396,24,650.0,0.9954271470395694,24,0.00039174266674028564,24
Toto-2.0-313M,1,0.01,spike_amplitude,spike,magnitude,-0.015299189513927836,24,100.0,0.0007086365969972857,24,0.013298724828317026,24
Toto-2.0-313M,1,0.01,level_change_time_frac,level_change,time_frac,0.9982987141370684,24,1150.0,0.9993853386786072,24,7.157025810202786e-05,24
Toto-2.0-313M,1,0.01,level_change_amplitude,level_change,magnitude,0.7426427079520463,24,1200.0,0.8669354304157051,24,0.08744357245352466,24
Toto-2.0-313M,1,0.01,gaussian_time_frac,gaussian,time_frac,0.9940892039879429,24,250.0,0.9971198249485146,24,0.0002458191481231887,24
Toto-2.0-313M,1,0.01,gaussian_amplitude,gaussian,magnitude,0.7582354036363022,24,900.0,0.8750143400147993,24,0.07837313360640767,24
Toto-2.0-313M,1,0.01,gaussian_sigma_sec,gaussian,sigma_sec,0.67579874178018,24,200.0,0.8776196550342094,24,6.746937880559459e-05,24
Toto-2.0-313M,1,0.01,gaussian_noise_std,gaussian_noise,std,-0.034602465686646156,24,900.0,0.010739136072280596,24,0.0014577093798394595,24
Toto-2.0-313M,1,0.01,uniform_noise_amplitude,uniform_noise,std,-0.028470535212583137,24,750.0,2.891068458987665e-05,0,0.0034267508822128606,24
Toto-2.0-313M,1,0.01,random_walk_step_std,random_walk_noise,std,-0.27892075213885015,24,400.0,0.01326330506178151,0,0.000527041500895386,24
Toto-2.0-313M,1,0.01,linear_trend_slope,linear_trend,slope,0.7466295055890628,24,200.0,0.8649148264530101,0,0.3374419530477717,24
Toto-2.0-313M,1,0.01,linear_trend_intercept,linear_trend,intercept,-0.018988376353089143,24,1000.0,0.02331617507980284,24,0.08346502472092504,24
Toto-2.0-313M,1,0.01,quadratic_trend_a,quadratic_trend,a,0.8826255464323085,24,1250.0,0.9401744939062276,24,0.6254598319241573,24
Toto-2.0-313M,1,0.01,quadratic_trend_b,quadratic_trend,slope,0.8775388495186616,24,1150.0,0.93691670092514,24,0.1591720867422055,24
Toto-2.0-313M,1,0.01,quadratic_trend_c,quadratic_trend,intercept,-0.01920951799492432,24,800.0,0.01035306157505955,0,0.08558815786917341,24
Toto-2.0-313M,1,0.01,log_trend_amplitude,log_trend,amplitude,0.7444041914032209,24,250.0,0.8676384520979804,0,0.33775759662990357,24
Toto-2.0-313M,1,0.01,log_trend_offset,log_trend,offset,-0.008844869106501507,24,150.0,0.00015368305409210097,0,0.08343625310371505,24
