model,head,num_enabled,lr,signal,auroc,auroc_layer,auprc,auprc_layer
Toto-2.0-4M,categorical,1,0.01,constant,1.0,2,1.0,2
Toto-2.0-4M,categorical,1,0.01,gaussian_noise,0.9998670816421509,4,0.9982026815414429,4
Toto-2.0-4M,categorical,1,0.01,uniform_noise,0.9999656677246094,4,0.9995694160461426,4
Toto-2.0-4M,categorical,1,0.01,random_walk_noise,1.0,2,1.0,2
Toto-2.0-4M,categorical,1,0.01,linear_trend,0.9980950355529785,2,0.9703107476234436,4
Toto-2.0-4M,categorical,1,0.01,quadratic_trend,0.995468020439148,2,0.9719565510749817,2
Toto-2.0-4M,categorical,1,0.01,log_trend,1.0,2,1.0,2
Toto-2.0-4M,categorical,1,0.01,sigmoid_trend,0.9963396787643433,4,0.9569571018218994,2
Toto-2.0-4M,categorical,1,0.01,sine,0.9993874430656433,2,0.9970630407333374,2
Toto-2.0-4M,categorical,1,0.01,sawtooth,0.9996492862701416,4,0.9970322847366333,2
Toto-2.0-4M,categorical,1,0.01,square,0.999850869178772,4,0.9990372061729431,2
Toto-2.0-4M,categorical,1,0.01,spike,1.0,2,1.0,2
Toto-2.0-4M,categorical,1,0.01,level_change,0.999753475189209,2,0.993648111820221,2
Toto-2.0-4M,categorical,1,0.01,gaussian,0.999988853931427,4,0.999852180480957,4
Toto-2.0-4M,categorical,1,0.003,constant,1.0,4,1.0,4
Toto-2.0-4M,categorical,1,0.003,gaussian_noise,0.9993640780448914,4,0.9927886724472046,2
Toto-2.0-4M,categorical,1,0.003,uniform_noise,0.9999302625656128,4,0.999146580696106,4
Toto-2.0-4M,categorical,1,0.003,random_walk_noise,1.0,2,1.0,2
Toto-2.0-4M,categorical,1,0.003,linear_trend,0.9988066554069519,2,0.9517298936843872,4
Toto-2.0-4M,categorical,1,0.003,quadratic_trend,0.9946988821029663,2,0.9265294075012207,2
Toto-2.0-4M,categorical,1,0.003,log_trend,1.0,2,1.0,2
Toto-2.0-4M,categorical,1,0.003,sigmoid_trend,0.9994905591011047,2,0.9514039158821106,2
Toto-2.0-4M,categorical,1,0.003,sine,0.9997435212135315,2,0.9985237717628479,2
Toto-2.0-4M,categorical,1,0.003,sawtooth,0.9999014139175415,2,0.9991532564163208,2
Toto-2.0-4M,categorical,1,0.003,square,1.0,2,1.0,2
Toto-2.0-4M,categorical,1,0.003,spike,1.0,2,1.0,2
Toto-2.0-4M,categorical,1,0.003,level_change,0.9999013543128967,2,0.9980717301368713,2
Toto-2.0-4M,categorical,1,0.003,gaussian,0.9999671578407288,2,0.9991670250892639,4
Toto-2.0-4M,categorical,1,0.001,constant,1.0,4,1.0,4
Toto-2.0-4M,categorical,1,0.001,gaussian_noise,0.9998070597648621,2,0.9975835084915161,2
Toto-2.0-4M,categorical,1,0.001,uniform_noise,0.9999191761016846,4,0.9990139603614807,4
Toto-2.0-4M,categorical,1,0.001,random_walk_noise,1.0,4,0.9999998211860657,4
Toto-2.0-4M,categorical,1,0.001,linear_trend,0.9983175992965698,2,0.9600626230239868,2
Toto-2.0-4M,categorical,1,0.001,quadratic_trend,0.998624324798584,2,0.9724346399307251,2
Toto-2.0-4M,categorical,1,0.001,log_trend,1.0,2,1.0,2
Toto-2.0-4M,categorical,1,0.001,sigmoid_trend,0.9998766779899597,2,0.9993741512298584,2
Toto-2.0-4M,categorical,1,0.001,sine,0.9995278120040894,2,0.9981216192245483,2
Toto-2.0-4M,categorical,1,0.001,sawtooth,0.9985167980194092,2,0.9926561117172241,2
Toto-2.0-4M,categorical,1,0.001,square,0.9992811679840088,4,0.9976136684417725,2
Toto-2.0-4M,categorical,1,0.001,spike,0.9999918341636658,2,0.9997841119766235,2
Toto-2.0-4M,categorical,1,0.001,level_change,0.9998438358306885,2,0.9959677457809448,2
Toto-2.0-4M,categorical,1,0.001,gaussian,0.999958872795105,2,0.9989158511161804,2
